id;name;description;created_at;updated_at;parent_id;full_name;organization_kind_id;codename
331;ООО «Транснефть-Телеком» ;;2020-01-10 12:48:07.65223;2020-01-10 12:48:07.65223;286;;5;Телеком
332;"ООО ""Транснефть Финанс""";;2020-01-10 12:48:07.678379;2020-01-10 12:48:07.678379;286;;5;Финанс
333;"ООО ""Транснефть-Логистика""";;2020-01-10 12:48:12.201081;2020-01-10 12:48:12.201081;286;;5;Логистика
334;"ООО ""Транснефтьстрой""";;2020-01-10 12:48:12.334093;2020-01-10 12:48:12.334093;286;;5;строй
335;"АО ""Новорослесэкспорт""";;2020-01-10 12:48:14.753182;2020-01-10 12:48:14.753182;286;;5;Новорослесэкспо
336;"АО ""Флот НМТП""";;2020-01-10 12:48:14.994691;2020-01-10 12:48:14.994691;286;;5;ФлотНМТП
337;"ООО ""НМТ""";;2020-01-10 12:48:15.060969;2020-01-10 12:48:15.060969;286;;5;НМТ
338;"ООО ""СФП""";;2020-01-10 12:48:15.214256;2020-01-10 12:48:15.214256;286;;5;СФП
339;"ООО ""БСК""";;2020-01-10 12:48:15.232266;2020-01-10 12:48:15.232266;286;;5;БСК
340;"ООО ""ПТП""";;2020-01-10 12:48:15.291832;2020-01-10 12:48:15.291832;286;;5;ПТП
341;"ООО ""ИПП""";;2020-01-10 12:48:15.310258;2020-01-10 12:48:15.310258;286;;5;ИПП
342;"ПАО ""НМТП""";;2020-01-10 12:48:15.353305;2020-01-10 12:48:15.353305;286;;5;НМТП
